Plant,Disease,Symptom,Cause,Comment,Management
Alfalfa,Alfalfa mosaic,Yellow streaks parallel to leaf veins; yellow-green mottling of leaves; distorted leaves; stunted plant growth.,Virus,Transmitted by aphids; also spread via infected seed and pollen.,Plant resistant cultivars; control aphid populations on plants; use virus free seed.
Alfalfa,Anthracnose,"Large diamond shaped lesions with white centers on lower portion of stems; young dead shoots take on a characteristic ""shepherds crook"" appearance.",Fungus,More common in warm weather and periods of high moisture.,Cannot be managed in established alfalfa stands; cut crop before major losses occur.
Alfalfa,Common leaf spot,Small circular brow-black spots with uneven margins on leaves; leaves turning yellow and dropping from plant; raised brown fungal fruiting bodies may be visible in cool wet weather,Fungus,More common during periods of high rainfall,Harvest infected alfalfa early to avoid severe infections which reduce hay quality; rotating crops may reduce incidence of disease
Alfalfa,Downy mildew,"Young leaflets may be dwarfed, twisted and cupped downward; light green or yellow blotches on leaves; a gray downy growth may be visible on infected leaves during cool, wet weather or during periods of high humidity.",Fungus,Pathogen spread by wind or by splashing water.,Grow resistant cultivars; cut alfalfa crop while still in prebloom stage; sow crop in Spring to reduce chance of seedlings becoming infected.
Alfalfa,Fusarium wilt,Wilting shoots followed by bleaching of leaves and stem; rapid wilting of stems on only one side of plant; may be a reddish tinge to leaves; red streaks in root stele.,Fungus,Disease emergence favored by high soil temperatures.,No satisfactory method of management; plant resistant alfalfa varieties.
Alfalfa,Lepto leaf spot,Small red-brown flecks on leaves and petioles which develop into lesions with tan center and irregular brown margins; leaves become necrotic but remain attached to the plant.,Fungus,Occurs wherever alfalfa is grown.,"Disease incidence and severity can be reduced by planting cultivars reported to have some resistance, using certified seed and rotating crop with a resistant plant such as soybean for at least 2 years."
Alfalfa,Aphanomyces root rot,"Infected seedlings have yellow cotyledons (seed leaves) with other leaflets beginning to turn yellow; seedlings dying back, seedlings with stunted growth; decaying roots in established plants leading to symptoms resembling nitrogen deficiency.",Oomycete,Disease is more easily spread in moist soils and over a wide range of temperatures.,Grow varieties that have some resistance to the disease; only plant alfalfa in well draining soil.
Alfalfa,Phytophthora root and stem rot,Chlorotic or reddish leaves which drop from plant; rotted roots which are yellow-brown in color; roots eventually turn black.,Fungus,Disease more prevalent in water saturated soil.,Grow resistant cultivars; try to improve drainage if soil has tendency to be waterlogged.
Alfalfa,Bacterial wilt,Dead plants scattered around field; stunted plants with small leaves and stems; bunchy appearance of plants; leaves curling upwards; plants wilting during day and recover at night; chlorotic leaflets; death of plants.,Bacterium,"Occurs wherever alfalfa is grown, important disease in the US.",Plant resistant cultivars.
Alfalfa,Damping off,"Failure of seedling to emerge; light brown, seedlings with light brown water-soaked roots and stems; collapse of plants; plant dry up and die.","Oomycete
Fungi",Occurs more often in cold temperatures when growth of seedlings is slow and in moist soil.,Treat seeds with fungicide prior to planting.
Alfalfa,Alfalfa caterpillar,"Defoliation of plants; entire leaf consumed, including midrib; adult insects are yellow-orange to white butterflies; larvae are bright green, velvety caterpillars which can reach 3.8 cm (1.5 in) in length; larvae have a white strip running down the side of their body.",Insect,Damage is most severe when eggs are laid in recently cut fields.,Avoid unnecessary applications of insecticides to promote populations of natural enemies; organically grown alfalfa can be treated with Bacillus thuringiensis; harvest crop early to avoid serious damage.
Alfalfa,Alfalfa weevil,Leaves skeletonized and appear bronzed; plants may be completely defoliated; adult insect is a dark gray beetle 0.5 cm (0.2 in) in length; larvae are pale green grubs with a thin white line down the center of their back and a brown head; larvae spin a cocoon and pupate on leaves or in soil.,Insect,Weevils overwinter in crop debris and emerges in Spring; both adult insects and larvae damage plants.,Treatment of alfalfa weevils should be focused on the period before the first cutting; cutting the crop before budding is organically acceptable and can prevent serious damage and kill off most weevils; other control methods include the application of appropriate insecticide.
Alfalfa,"Aphids (Cowpea aphid, Blue alfalfa aphid, Pea aphid, etc)","Small soft bodied insects on underside of leaves and/or stems; aphids are generally green in color but cowpea aphid is black and colonizes stems; aphids inject a powerful toxin into alfalfa which stunts plant growth and may kill the plant; aphids also secrete a sticky, sugary substance called honeydew which encourages the growth of sooty mold on the plants.",Insect,Blue alfalfa aphid and pea aphids prefer cooler temperatures and are most abundant in Spring and Fall; cowpea aphids are generally a sporadic pest but are most common in Spring.,Insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use.
